CÓDIGO;AUTOR;TÍTULO;EJEM.
320/0090;POPPER KAR R.;BÚQUEDA SIN TERMINO (UNA AUTOGRAFÍA INTELECTUAL);1
320/0091;FERRER CHRISTIAN;CABEZAS DE TORMENTA;1
320/0092;AUYERO JAVIER;CAJA DE HERRAMIENTAS    {El LUGAR  DE LA CULTURA   EN LA SOCIOLOGIA   NORTEAMERICANA);1
320/0093;GARZON  VALDES  ERNESTO;CALAMIDADES  (LA RESPONSABILIDAD   HUMANA ANTE  LA ATROCIDAD);1
320/0096;KOSACOFF BERNARDO/RAMOS;CAMBIOS   CONTEMPORANEOS    EN LA ESTRUCTURA  INDUSTRIAL  ARGENTINA   (1975-2000);1
320/0097;BRIENZA  HERNAN;CAMILO   TORRES  (SACRISTAN   DE LA GUERRILLA);1
320/0098;HOLMES  RICHARD;CAMPOS   DE BATALLA  (LAS GUERRAS QUE  HAN MARCADO    LA HISTORIA);1
320/0099;ALONSO V.  GUILLERMO;CAPACIDADES    ESTATALES,  INSTITUCIONES   Y POLITICA  SOCIAL;2
320/0101;ALBERT MICHEL;CAPITALISMO  CONTRA CAPITALISMO;1
320/0102;FERNANDEZ  PARDO  CARLOS A.;CARL SCHMITI EN LA TEORIA  POLITICA  INTERNACIONAL;1
320/0103;ORESTES AGUILAR   HECTOR;CARL SCHMITI,  TEOLOGO   DE LA POLITICA  (PROLOGO   Y SELECCIÓN  DE TEXTOS);1
320/0104;DE RENZJS MIGUEL   ANGEL;CARTAS AL PODER;1
320/0105;GRAMSCJ  ANTONIO;CARTAS  DESDE  LA CARCEL;2
320/0107;WACQUANT LOIC;CASTIGAR  A LOS POBRES  (EL GOBIERNO   NEOLIBERAL   DE LA INSEGURIDAD   SOCIAL);1
320/0108;O,DONNELL  GUILLERMO;CATACUMBAS;1
320/0109;ESPOSITO ROBERTO;CATEGORIAS DE LO IMPOLÍTICO ;1
320/0110;DONATELLO LUIS MIGUEL;CATOLICISMO Y MONONEROS (RELIGIÓN , POLÍTICA Y DESENCANTO);1
320/0111;BUCHBINDER PABLO;CAUDILLOS DE PLUMA Y HOMBRES DE ACCIÓN (ESTADO Y POLÍTICA EN CORRIENTES EN TIEMPOS DE LA ORGANIZACIÓN NACIONAL;1
320/0112;SOHR RAUL;CENTROAMERICA EN GUERRA (LAS FUERZAS ARMADAS DE CENTROAMERICA Y MEXICO);1
320/0113;GUEVARA ALEIDA;CHAVEZ UN HOMBRE QUE ANDA POR AHÍ;1
320/0114;CHE GUEVARA ERNESTO;CHE DESDE LA MEMORIA (LOS DEJO AHORA CONMIGO MISMO, EL QUE FUI);1
320/0115;POR LOS FOTOGRAFOS DE LA REVOLUCION CUBANA;CHE GUEVARA;4
320/0117;DEUTSCHMANN DAVID;CHE EN LA MEMORIA DE FIDEL CASTRO;2
320/0119;SORMAN GUY;CHINA EL IMPERIO DE LAS MENTIRAS ;3
320/0121;COGSWELL DAVID/GORDON PAUL;CHOMSKY , PARA PRINCIPIANTES;1
320/0122;KOZUU ROBERTO;¿CHOQUE DE CIVILIZACIONES O CRISIS DE LA CIVILIZACION GLOBAL? (PROBLEMÁTICA. DESAFIOS Y ESCENARIOS FUTUROS CICLOS EN POLITICA Y ECONOMIA;2
320/0128;ALBORNOZ MARIO/KREIMER PABLO/GLAVICH EDUARDO ;CIENCIA Y SOCIEDAD EN AMERICA LATINA;1
320/0129;ARELLANO ANTONIO/KREIMER PABLO/OCAMPO Y OTROS;CIENCIAS AGRICOLAS Y CULTURA CIENTIFICA EN AMERICA LATINA;1
320/0130;CAROZZI MARIA JULIA;CIENCIAS SOCIALES Y RELIGION EN AMERICA LATINA (PERSPECTIVAS EN DEBATE);1
320/0132;SEL SUSANA;CINE Y FOTOGRAFIÁ COMO INTERVENCIÓN POLÍTICA;1
320/0133;APREA GUSTAVO;CINE Y POLITICAS EN ARGENTINA (CONTINUIDADES Y DESCONTINUIDADES EN 25 AÑOS DE LA DEMOCRACIA);1
320/0135;KYMLICKA WILL;CIUDADANÍA MULTICULTURAL (UNA TEORIA LIBERAL DE LOS DERECHOS DE LAS MINORIAS);1
320/0136;DELAMATA GABRIELA;CIUDADANÍA Y TERRITORIO(LAS RELACIONES POLITICAS DE LAS NUEVAS IDENTIADES SOCIALES );1
320/0137;CHERESKI ISIDORO;CIUDADANÍA , SOCIEDAD CIVIL Y PARTICIPACIÓN POLÍTICA ;2
320/0140;FONT JOAN;CIUDADANOS Y DECISIONES PÚBLICAS;1
320/0141;PORTES ALEANDRO/ROBERTS BRYAN/GRIMSON A.;CIUDADES LATINOAMERICANAS (UN ANALISSI COMPARATIVO EN EL UMBRAL DEL NUEVO SIGLO);1
320/0142;VERBITSKY HORACIO;CIVILES Y MILITARES (MEMORIA SECRETA DE LA TRANSICION) ;2
320/0145;RAPOPORT ANATOL;LAUSEWITZ FILOSOFO DE LA GUERRA Y LA POLITICA;1
320/0146;FERNANDEZ VICTOR RAMIRO;CLUSTERS Y DESARROLLO REGIONAL EN AMERICA LATINA (RECONSIDERACIONES TEORICAS Y METODOLOGICAS EN AMERICA LATINA);1
320/0147;MURILLO SUSANA ;COLONIZAR EL DOLOR (INTERPELACION IDEOLOGICA DEL BANCO MUNDIAL EN AMERICA LATINA, DESDE BLUMBERG A CROMAÑON);1
320/0149;ESTRADA JUAN H.;COMENTARIOS EN TORNO AL PARLAMENTO;1
320/0150;BARRAT BROWN MICHAEL;COMERCIO JUSTO, COMERCIO INJUSTO(HACIA UNA NUEVA COOPERACIÓN INTERNACIONAL);1
320/0152;TOURAINE ALAIN;COMO SALIR DEL LIBERALISMO?;2
320/0153;ALLES MARTHA;COMO SER UN BUEN JEFE EN 12 PASOS;1
320/0154;THOMAS CHANTAL;COMO SOPORTAR LA LIBERTAD;1
320/0155;ORNA ELISABETH/STEVENS GRAHAM;COMO USAR LA INFORMACION EN TRABAJOS DE INVESTIGACION;1
320/0157;BOORSTIN J. DANIEL;COMPENDIO HISTORICO DE LOS ESTADOS UNIDOS (UN RECORRIDO POR SUS DOCUMENTOS FUNDAMENTALES);1
320/0160;ALEM BEATRIZ CANEL MARIA JOSE;COMUNICACION MEDIOS Y POLITICAS (3ras.- JORNADAS ANUALES DE INVESTIGACION EN COMUNICACIÓN);2
320/0161;CANEL MARIA JOSE;COMUNICACION POLITICA (UNA GUIA PARA SU ESTUDIO Y PRACTICA);1
320/0162;DEL REY MORATO JAVIER BOLADERAS MARGARITA;COMUNICACION POLITICA, INTERNET Y CAMPARAS ELECTORALES (DE LA TELEDEMOCRACIA A LA CREBERDEMOCRACIA ;2
320/0164;ANDERSON BENEDICT;COMUNIDADES IMAGINADAS (REFLEXIONES SOBRE EL ORIGEN Y LA DIFUSION DEL NACIONALISMO;2
320/0165;ESPOSITO ROBERTO;COMMUNITAS (ORIGEN Y DESTINO DE LA COMUNIDAD);1
320/0167;FRED R. DAVID;CONCEPTOS DE ADMINISTRACION ESTRATEGICA;1
320/0169;CADEMARTORI FIORELLA/CAMPOS JULIA/SEIFFER TAMARA;CONDICIONES DE TRABAJO DE LOS TRABAJADORES SOCIALES (HACIA UN PROYECTO PROFESIONAL CRITICO);1
320/0170;PERON JUAN DOMINGO;CONDUCCION POLITICA (LAS ENSERANZAS DE LA HISTORIA SON MANDATOS PARA EL PRESENTE);1
320/0171;CATOIRA MARIN RICARDO;CONDUCCION POLITICA Y SINDICAL;1
320/0172;ARENDT HANNAH;CONFERENCIAS SOBRE LA FILOSOFIA POLITICA DE KANT;1
320/0174;MOLINA JERONIMO;CONFLICTO GOBIERNO Y ECONOMIA (CUATRO ENSAYOS SOBRE JULIEN FREUND);1
320/0175;GRIMSON ALEJANDRO/PEREYRA SEBASTIAN;CONFLICTOS GLOBALES, VOCES LOCALES (MOVILIZACION Y ACTIVISMO EN CLASE TRANSNACIONAL);1
320/0177;WALLERSTEIN IMMANUEL;CONOCER EL MUNDO SABER EL MUNDO EL FIN DE LO APRENDIDO (UNA CIENCIA SOCIAL PARA EL SIGLO XXI);1
320/0178;BLOOR DAVID;CONOCIMIENTO E IMAGINARIO SOCIAL;1
320/0179;YOGUEL GABRIEL Y OTROS;CONOCIMIENTO Y COMPETITIVIDAD TRAMAS PRODUCTIVAS Y COMERCIO EXTERIOR ;1
320/0181;VEDDA MIGUEL;CONSTELACIONES DIALECTICAS TENTATIVAS SOBRE WALTER BENJAMIN;1
320/0182;SANCHEZ NAVARRO J. ANGEL;CONSTITUCION, IGUALDAD Y PROPORCIONALIDAD ELECTORAL;1
320/0183;SERBIN ANDRES Y OTROS;CONSTRUCCION DE PAZ Y DIPLOMACIA CIUDADANA EN AMERICA LATINA Y EL CARIBE;1
320/0184;WORTMAN ANA;CONSTRUCION IMAGINARIA DE LA DESIGUALDAD SOCIAL;1
320/0185;RUIZ BALLESTEROS ESTEBAN;CONSTRUCCION SIMBOLICA DE LA CIUDAD (POUTICA LOCAL Y LOCALISMO);1
320/0187;GARAVAGLIA JUAN CARLOS;CONSTRUIR EL ESTADO, INVENTAR LA NACION (EL RIO DE LA PLATA SIGLOS XVIII-XIX);2
320/0190;SANCCI S. ADRIAN Y OTROS;CONTABILIDAD I  (CONCEPTOS APLICADOS);1
320/0191;KREIMER JUAN CARLOS;CONTRA CULTURA PARA PRINCIPIANTES;1
320/0192;SARTELLI EDUARDO;CONTRA LA CULTURA DEL TRABAJO (INCLUYE EL DERECHO A LA PEREZA DE PAUL LASAFARGUE);1
320/0193;QARMAT MIRIAN;CONTRA LA DEMOCRACIA;1
320/0194;HOLLOWAY JOHN;"CONTRA Y MAS ALLA DEL CAPITAL (REFLEXIONES A PARTIR DEL DEBATE SOBRE EL LIBRO ""CAMBIAR EL MUNDO SIN TOMAR EL PODER 9""";1
320/0195;ROUSSEAU;CONTRATO SOCIAL;2
320/0196;ARONSKIND RICARDO;CONTROVERSIAS Y DEBATES EN EL PENSAMIENTO ECONOMICO ARGENTINO;1
320/0197;HOYOS GUILLERMO/URIBE ANGELA;CONVERGENCIA ENTRE ETICA Y POLITICA;2
320/0198;GIORDANO EDUARDO;CONVERSACIONES CON JAMES PETRAS (LA IZQUIERDA ANTES Y DESPUES DE LA CAIDA DEL MURO);1
320/0199;DIAZ ALBERTO Y OTROS;COOPERACION PARA EL DESARROLLO ECONOMICO Y SOCIAL, BIOTECNOLOGIA ITALIA ARGENTINA;1
320/0201;ZOLO DANILO;COMOPOUS (PERSPECTIVA Y RIESGOS DE UN GOBIERNO MUNDIA);1
320/0202;PASCUCCI SILVINA;COSTURERAS, MONJAS Y ANARQUISTA (TRABAJO FEMENINO, IGLESIA Y LUCHA DE CLASES EN LA INDUSTRIA DEL VESTIDO 1890-1940) ;1
320/0203;ROLDAN DARIO Y OTROS;CREAR LA DEMOCRACIA;2
320/0204;TULLIO ALEJANDRO;CREAR UN PARTIDO POLITICO (PARTIDOS POLITICOS: RECONOCIMIENTO JURIDICO, REQUISITOS, PROCEDIMIENTOS, LEYES, FINANCIAMENTO );2
320/0205;ESQUIVEL JUAN/GARCIA FABIAN/HADIDA M.E./HOUDIN V.;CREENCIAS Y RELIGIONES EN EL GRAN BUENOS AIRES (EL CASO DE QUILMES);1
320/0206;VATTIMO GIANNI;CREER QUE SE CREE;1
320/0207;GANDASEGUI MARCO A., HIJO Y OTROS;CRISIS DE HEGEMONIA DE ESTADOS UNIDOS;1
320/0208;PORTANTIEROS JUAN CARLOS Y OTROS;CRISIS DE LAS CIENCIAS SOCIALES DE LA ARGENTINA EN CRISIS (CONSEJO DE DECANOS FAC DE CS SOCIALES Y HUMANAS);1
320/0209;CALDERON FERNANDO/PROG. DE NACIONES UNIDAS;CRISIS Y CAMBIO EN AMERICA LATINA (ESCENARIOS POLITICOS PROSPECTIVOS);1
320/0210;SIERRA ENRIQUE;CRISIS (ECONOMIA Y RIQUEZA PLANETARIAS: INTRODUCCION AL SIGLO XXI);1
320/0211;EGGERS CONRADO;CRISTIANISMO Y NUEVA IDEOLOGIA;1
320/0212;MUNDO DANIEL;CRITICA APASIONADA (UNA LECTURA INTRODUCTORIA DE LA OBRA DE HANNAH ARENDT);1
320/0214;MARX CARLOS;CRITICA DE LA FILOSOFIA DEL DERECHO DE HEGEL ;2
320/0215;MARX CARLOS;CRITICA DE LA FILOSOFIA DEL ESTADO DE HEGEL;2
320/0216;FLORES OLEA VICTOR/MARIÑA FLORES ABELARDO;CRITICA DE LA GLOBALIDAD (DOMINACION Y UBERACION EN NUESTRO TIEMPO);3
320/0219;HONNETH AXEL;CRITICA DEL AGRAVIO MORAL (PATOLOGIAS DE LA SOCIEDAD CONTEMPORANEA);2
320/0220;KORNBLITHTT JUAN;CRITICA DEL MARXISMO LIBERAL (COMPETENCIA Y MONOPOLO EN EL CAPITALISMO ARGENTINO);1
320/0221;REVISTA LATINOAMERICANA DE CIENCIAS SOCIALES No. 1;CRITICA Y EMANCIPACION/JUNIO 2008;1
320/0222;COHN GABRIEL;CRITICA Y RESIGNACION (FUNDAMENTOS DE LA SOCIOLOGIA DE MAX WEBER);1
320/0223;FLORES TOTY;CUANDO CON OTROS SOMOS NOSOTROS (EXPERIENCIA ASOCIATIVA DEL MOVIMIENTO DE TRABAJADORES DESOCUPADOS DE LA MATANZA);1
320/0226;RAUL CORRALES;CUBA LA IMAGEN LA HISTORIA (PREMIO NACIONAL DE ARTES PLASTICAS);2
320/0229;MARTOCCIA MARIA/GUTIERREZ JAVIERA;CUERPOS FRAGILES MUJERES PRODIGIOSAS;1
320/0230;GIRBAL-BLACHA NOEMI M./MENDONCA SONIA R;CUESTIONES AGRARIAS EN ARGENTINA Y BRASIL (CONFLICTOS SOCIALES EDUCACION Y MEDIO AMBIENTE;1
320/0231;GARCIA BELSUNCE EDUARDO ;CUESTIONES KANTIANAS Y UN OPUSCULO DE KANT;1
320/0232;SZCZARANSKI CLARA;CULPABILIDADES Y SANCIONES EN CRIMENES CONTRA LOS DERECHOS HUMANOS;1
320/0233;GRIMSON ALEJANDRO Y OTROS;CULTURA Y NEOLIBERALISMO;1
320/0234;FREDERIC SABINA/SOPRANO GERMAN ;CULTURA Y POLITICA EN ETNOGRAFIAS SOBRE LA ARGENTINA;1
320/0235;GARCIA CANCLINI NESTOR;CULTURAS HIBRIDAS (ESTRATEGIAS PARA ENTRAR Y SALIR DE LA MODERNIDAD);2
320/0236;MANENT PJERRE;CURSO DE FILOSOFIA POLITICA;3
320/0237;GOMEZ NAVIA RAIMUNDO Y OTROS;DE DONDE SON LOS CUBANOS?;1
320/0238;"FERRER ""CALICA"" CARLOS";DE ERNESTO AL CHE (EL SEGUNDO Y ULTIMO VIAJE DE GUEVARA POR LATINOAMERICA);1
320/0239;CARPIO JORGE/NOVACOVSKY IRENE;DE IGUAL A IGUAL (EL DESAFIO DEL ESTADO ANTE LOS NUEVOS PROBLEMAS SOCIALES);1
320/0240;SIMMEL GEORG;DE LA ESENCIA DE LA CULTURA;1
320/0241;TOMAS MASSA SERGIO/FERNANDEZ PASTOR MIGUEL A.;DE LA EXCLUSION  A LA INCLUSION SOCIAL(REFORMAS DE LA REFORMA DE LA SEGURIDAD SOCIAL EN LA REPUBLICA ARGENTINA);1
320/0242;BULLRICH JUAN;DE LA EXCLUSION AL ACCESO (DESARMANDO AL ADVERSARIO);1
320/0243;ALIGHIERI, DANTE;DE LA MONARQUIA;2
320/0244;SARAVI A. GONZALO;DE LA POBREZA A LA EXCLUSIÓN :(CONTINUIDADES Y RUPTURAS DE LA CUESTIÓN EN AMERICA LATINA);1
320/0245;VIROLI MAURIZIO;DE LA POLITICA A LA RAZON DE ESTADO (LA ADQUISICION Y TRANSFORMACION DEL LENGUAJE POLITICO (1250-1600);1
320/0246;OLLIER MARIA MATILDE;DE LA REVOLUCION A LA DEMOCRACIA (CAMBIOS PRIVADOS, PUBLICOS Y POLITICOS DE LA IZQUIERDA ARGENTINA);1
320/0247;BENITEZ LAURA/ROBLES A. JOSE;DE NEWTON Y LOS NEWTONIANOS (ENTRE DESCARTES Y BERKELEY) ;1
320/0248;HABERMAS JURGEN/RAWLS JOHN;DEBATES SOBRE EL LIBERALISMOPOLÍTICO;1
320/0249;LACLAU ERNESTO;DEBATES Y COMBATES (POR UN NUEVO HORIZONTES DE LA POLITICA) ;2
320/0250;SVAMPA MARISTELLA/STEFANONI PABLO/FORNILLO BRUNO;DEBATIR BOLIVIA (PERSPECTIVAS DE UN PROYECTO DE DESCOLONIZACION) ;1
320/0251;FOUCAULT MICHEL;DEFENDER LA SOCIEDAD;2
320/0252;MONTESQUIEU;DEL ESPIRITU DE LAS LEYES ;1
320/0253;ZANATTA LORIS;DEL ESTADO LIBERAL A LA NACION CATOLICA (IGLESIA Y EJERCITO EN LOS ORIGENES DEL PERONISMO, 1930-1945);1
320/0254;CIURO CALDANI MIGUEL ANGEL;DEL MERCOSUR (ADUANA, JURISDICCIÓN, INFORMÁTICA, RELACIONES INTERCOMUNITARIAS);1
320/0255;GARCIA MORIYON FÉLIX; DEL SOCIALISMO UTOPICO AL ANARQUISMO;1
320/0256;GIRON ALICIA/CORREA EUGENIA;DEL SUR HACIA EL NORTE (ECONOMIA POLITICA DEL ORDEN ECONOMICO INTERNACIONAL EMERGENTE);1
320/0257;LISSIDINI ALICIA/WELP YANINA/ZOVATTO DANIEL;DEMOCRACIA DIRECTA EN LATINOAMERICA;3
320/0259;AMARAL SAMUEL/STOKES C. SUSAN;DEMOCRACIA LOCAL (CLIENTELISMO, CAPITAL SOCIAL E INNOVACIÓN POLÍTICA EN LA ARGENTINA);1
320/0260;ROMERO RICARDO;DEMOCRACIA PARTICIPATIVA, UNA UTOPIA EN MARCHA (REFLEXIONES, EXPERIENCIAS Y UN ANALISIS DEL CASO PORTEÑO);1
320/0261;GUTIERREZ CASTAÑEDA GRISELDA;DEMOCRACIA POSIBLE (EL DISEÑO POLÍTICO DE MAX WEBER);2
320/0262;LUMMIS C DOUGLAS;DEMOCRACIA RADICAL;1
320/0263;WOLIN SHELDON S.;DEMOCRACIA S.A. (LA DEMOCRACIA DIRIGIDA Y EL FANTASMA DEL TOTALITARISMO INVERTIDO) ;1
320/0264;EROLES CARLOS;DEMOCRACIA Y DERECHOS HUMANOS LOS DESAFIOS ACTUALES);2
320/0265;GREENSTEIN FL;DEMOCRACIA Y PARTIDOS POLITICOS EN NORTEAMERICA;1
320/0266;TOCQUEVILLE DE ALEXIS;DEMOCRACIA Y POBREZA (MEMORIAS SOBRE EL PAUPERISMOS;1
320/0267;YANNUZZI MARIA DE LOS ANGELES;DEMOCRACIA Y SOCIEDAD DE MASAS (LA TRANSFORMACION DEL PENSAMIENTO POLÍTICO MODERNO);2
320/0268;PASTORE MARÍA;DEMOCRACIA IGUALDAD Y VOLUNTAD POLITICA EN BUSCA DE LA CALIDAD DEMOCRATICA) ;1
320/0269;NUN JOSÉ;DEMOCRACIA ¿GOBIERNO DEL PUEBLO O GOBIERNO DE LOS POLÍTICOS?;3
320/0270;PEMPEL TJ.;DEMOCRACIAS DIFERENTES (LOS REGIMENES CON UN PARTIDO DOMINANTE);1
